domain,subject,level,pca1,pca2,tsne1,tsne2
CAMRI,129,level3,-4.495495960409966,-4.124573535577415,-59.22701,41.656258
CAMRI,124,level3,-3.828858625644319,-3.692776349854189,-60.82214,36.56297
CAMRI,104,level3,-3.044439918047908,-3.0841652678984834,-64.062126,34.388714
CAMRI,011,level3,-3.9716515517527293,-3.892448976732527,-60.90124,32.253525
CAMRI,101,level3,-2.919787275388864,-3.15478268880664,-58.843872,33.507256
CAMRI,122,level3,-3.123486800120191,-3.5358988136223344,-58.99073,36.897923
Mouse,POLYIC_20190524_polyic___E3_P1,level3,1.0631487654177325,2.9732769977489033,2.5962145,-38.897198
Mouse,POLYIC_20190517_mouse31__E3_P1,level3,2.6457466407774684,4.044345342000513,1.6102978,-37.407066
Mouse,POLYIC_20190614_polyic___E3_P1_1,level3,1.034084116364905,3.478480858484505,11.478949,-36.31866
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level3,-1.3855113335494291,2.2594006939011875,16.722473,-41.28482
Mouse,POLYIC_20190524_polyic___E3_P1_3,level3,-0.013227243072294562,4.064914927830863,14.481859,-46.66745
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level3,-0.7315973438409855,2.7892770459518634,15.850561,-39.395775
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,level3,0.5075401142089256,2.8376012813632405,11.838282,-38.23661
Mouse,POLYIC_20190524_polyic___E3_P1_13,level3,-2.3545007552631407,2.662911328739193,16.495699,-44.970177
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,level3,0.9883894637390579,3.121413742138726,9.375887,-36.590256
Mouse,POLYIC_20190510_mouse39__E4_P1,level3,-0.5318558880583402,3.073996221158804,5.1633425,-40.887283
Mouse,POLYIC_20190628_mouse32__E3_P1,level3,-0.2821009688190789,3.2401861286232623,20.668861,-39.582523
Mouse,POLYIC_20190510_mouse43__E2_P1_1,level3,0.34056091520884063,3.0784047184826684,18.842163,-34.352802
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,level3,-1.1342743775140398,2.7530378579005523,18.382986,-40.06016
Mouse,POLYIC_20190628_mouse33__E3_P1,level3,0.6445982724520163,2.808862381644627,7.2471266,-38.385315
Mouse,POLYIC_20190517_mouse37__E3_P1,level3,-3.749457997483711,4.271640161370737,8.60564,-49.64527
Mouse,POLYIC_20190619_mouse43__E3_P1,level3,-2.159866019152597,1.7360549457597028,10.054014,-42.655632
Mouse,POLYIC_20190517_mouse39__E12_P1,level3,-1.736652071498933,4.067985728493223,7.36799,-48.704437
Mouse,POLYIC_20190612_polyic___E10_P1_1,level3,-0.5858614643720274,2.842960053666591,9.51826,-40.22175
Mouse,POLYIC_20190524_polyic___E3_P1_10,level3,-2.689948503871448,3.1592825255226784,18.234146,-45.915688
Mouse,POLYIC_20190517_mouse40__E3_P1,level3,-0.6102795401895474,2.878000985583992,18.559107,-37.094578
CAMRI,108,level2,3.194599549014172,6.421716349235207,124.18541,-0.9303882
CAMRI,075,level2,0.6067474025045111,2.7502481023770398,71.7451,7.291666
CAMRI,111,level2,3.1491283246487316,6.210458735564151,123.93719,-11.462634
CAMRI,051,level2,0.18005532940319444,3.4171094792444725,82.217064,14.473127
CAMRI,110,level2,3.537995210675196,6.0702907038606915,113.91508,-17.053288
CAMRI,074,level2,-0.5204654417665014,1.6113512011526643,55.933235,20.538523
CAMRI,015,level2,-5.675700158020601,-0.003879036253235749,8.63252,99.10978
CAMRI,106,level2,1.8659730773790886,5.847142271838037,110.23134,-5.189219
CAMRI,058,level2,-0.3302066323841546,4.608931923598426,87.96306,5.195975
CAMRI,062,level2,1.2518208808730644,2.824999986507119,69.34836,18.024675
CAMRI,121,level2,-7.6114542129207985,-0.40267641937871057,-41.78297,66.98613
CAMRI,041,level2,-4.769923624883965,0.5875352202904256,-45.406197,109.98426
CAMRI,013,level2,-6.473673067934877,-0.7806249214239309,-8.874944,90.98352
CAMRI,130,level2,-7.967780962710022,-0.8456865575980399,-30.3703,70.64908
CAMRI,129,level2,-7.595270128902961,-0.49815159828256295,-40.2872,78.87309
CAMRI,124,level2,-6.845266060410934,-0.5634118255715996,-6.5506535,104.31427
CAMRI,104,level2,-6.095465013171061,0.7506638495263269,-48.09711,92.24759
CAMRI,011,level2,-6.452925338490456,-0.5531530554413776,-17.137705,100.00347
CAMRI,101,level2,-5.511275051223567,0.14236027394740428,-30.23731,106.38881
CAMRI,122,level2,-6.896636714423438,-0.2832235763498679,-11.683012,112.89812
Mouse,POLYIC_20190524_polyic___E3_P1,level2,4.217546326092546,-1.9130241924519598,-1.7031122,-90.51794
Mouse,POLYIC_20190517_mouse31__E3_P1,level2,5.355397709875647,-1.37067866892131,10.777175,-92.3607
Mouse,POLYIC_20190614_polyic___E3_P1_1,level2,3.7112777570152096,-1.8481372006778174,-37.130795,-55.941154
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level2,2.487710085751958,-2.1034558156626066,-11.720931,-31.692385
