domain,subject,threshold,dice,precision,recall,volume_ratio
Mouse,POLYIC_20190517_mouse37__E3_P1,0.3,0.5916582025490645,0.42165317559153176,0.9913625882955751,2.351132745306152
Mouse,POLYIC_20190517_mouse37__E3_P1,0.4,0.6059517615267125,0.43639748249268684,0.9909782966731325,2.2708157962156426
Mouse,POLYIC_20190517_mouse37__E3_P1,0.5,0.6191129714769322,0.4502536804458122,0.9906306042528273,2.2001610364894044
Mouse,POLYIC_20190517_mouse37__E3_P1,0.6,0.6327649920478997,0.4649418274931688,0.9901731142261099,2.129670973172785
Mouse,POLYIC_20190517_mouse37__E3_P1,0.7,0.6472872623699281,0.4808887466325251,0.9897705230025985,2.0582110309995243
Mouse,POLYIC_20190619_mouse43__E3_P1,0.3,0.7059529764882442,0.5490196078431373,0.9885121882880359,1.8005043429532082
Mouse,POLYIC_20190619_mouse43__E3_P1,0.4,0.7243956947262966,0.5719385064698008,0.9876716166993555,1.7268842813112917
Mouse,POLYIC_20190619_mouse43__E3_P1,0.5,0.7426068052307389,0.5952202426840988,0.9870061641916503,1.6582200896609696
Mouse,POLYIC_20190619_mouse43__E3_P1,0.6,0.7609030479896238,0.6193801689248636,0.9862531521434575,1.5923227794900532
Mouse,POLYIC_20190619_mouse43__E3_P1,0.7,0.7797622346616416,0.645082530949106,0.9855176520033623,1.52773886242645
Mouse,POLYIC_20190517_mouse39__E12_P1,0.3,0.5883128830955785,0.4178205663095416,0.9938582529725681,2.378672408950473
Mouse,POLYIC_20190517_mouse39__E12_P1,0.4,0.6005241440207394,0.4303527388369678,0.99329650781762,2.308098492650501
Mouse,POLYIC_20190517_mouse39__E12_P1,0.5,0.611483992988283,0.4417883835059449,0.9928471116936617,2.2473363917236213
Mouse,POLYIC_20190517_mouse39__E12_P1,0.6,0.6224900305982816,0.45347663135556965,0.9923415410542084,2.1882969759385826
Mouse,POLYIC_20190517_mouse39__E12_P1,0.7,0.6347884437947108,0.4667359758944855,0.9919483194457448,2.125287894391911
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.3,0.6424796880270314,0.4771850250081309,0.9829790316155435,2.059953645022272
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.4,0.6607336476493305,0.4978428492748302,0.9820555535436207,1.9726215912794698
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.5,0.6786644624787096,0.5187135062697426,0.9812407199507478,1.8916814543874263
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.6,0.6972735880045601,0.541111433227035,0.9801361677470757,1.811338862130156
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.7,0.71573415928735,0.5640124332443258,0.9791221526092783,1.7359939159091733
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.3,0.5848256750589698,0.4158710050750307,0.9849977774485109,2.368517558156764
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.4,0.6039020453628402,0.4356178310526618,0.9840531930656393,2.258982812268484
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.5,0.6222078949682033,0.4551332070003344,0.9830900874203585,2.160005185953475
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.6,0.6397003383860013,0.47432353861979515,0.9821269817750777,2.0705845310416358
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.7,0.6595965949073065,0.49685245471005995,0.9808860571936583,1.9741998814639206
