domain,subject,region,bin_center,density
CAMRI,002,background,0.6299999952316284,0.005947729752701839
CAMRI,002,background,0.6499999761581421,0.0048039212526753035
CAMRI,002,background,0.6700000166893005,0.004651429678395028
CAMRI,002,background,0.6899999976158142,0.003736394331825514
CAMRI,002,background,0.7100000381469727,0.002745097858671602
CAMRI,002,background,0.7300000190734863,0.0031263707674458385
CAMRI,002,background,0.75,0.0019063236386864869
CAMRI,002,background,0.7699999809265137,0.0022875883664237842
CAMRI,002,background,0.7899999618530273,0.0016013070842251015
CAMRI,002,background,0.8100000023841858,0.0015250589109491895
CAMRI,002,background,0.8299999833106995,0.0007625294554745947
CAMRI,002,background,0.8500000238418579,0.0011437907744465008
CAMRI,002,background,0.8700000047683716,0.0011437941832118921
CAMRI,002,background,0.8899999856948853,0.0008387824010220543
CAMRI,002,background,0.9099999666213989,0.0006100217463714671
CAMRI,002,background,0.9300000071525574,0.0009150353465695137
CAMRI,002,background,0.949999988079071,0.0008387824010220543
CAMRI,002,background,0.9700000286102295,0.00030501087318573355
CAMRI,002,background,0.9900000095367432,0.0020588295297814057
CAMRI,002,boundary,0.009999999776482582,0.7669934666049905
CAMRI,002,boundary,0.029999999329447746,1.2141139822724318
CAMRI,002,boundary,0.04999999701976776,1.2287841275796374
CAMRI,002,boundary,0.07000000029802322,1.090055579565845
CAMRI,002,boundary,0.09000000357627869,0.9242189822047511
CAMRI,002,boundary,0.10999999940395355,0.8722359758406889
CAMRI,002,boundary,0.12999999523162842,0.8849922966246322
CAMRI,002,boundary,0.15000000596046448,0.9401651395898907
CAMRI,002,boundary,0.17000000178813934,1.007455720202465
CAMRI,002,boundary,0.1899999976158142,1.033926520539493
CAMRI,002,boundary,0.21000000834465027,0.9666351893137581
CAMRI,002,boundary,0.22999998927116394,0.8795710498605558
CAMRI,002,boundary,0.25,0.8390686846204215
CAMRI,002,boundary,0.26999998092651367,0.8508679523583972
CAMRI,002,boundary,0.2900000214576721,0.7950576481369881
CAMRI,002,boundary,0.3100000023841858,0.7622104334338312
CAMRI,002,boundary,0.32999998331069946,0.7201123824682387
CAMRI,002,boundary,0.3500000238418579,0.778792930906749
CAMRI,002,boundary,0.3700000047683716,0.8141938228270172
CAMRI,002,boundary,0.38999998569488525,0.914970073206987
CAMRI,002,boundary,0.4099999964237213,1.0007599749436662
CAMRI,002,boundary,0.4300000071525574,1.1139736722593259
CAMRI,002,boundary,0.44999998807907104,1.1614921598535544
CAMRI,002,boundary,0.4699999988079071,1.2944820708401343
CAMRI,002,boundary,0.49000000953674316,1.3069178668533403
CAMRI,002,boundary,0.5099999904632568,1.3104278958073692
CAMRI,002,boundary,0.5299999713897705,1.3228616968429765
CAMRI,002,boundary,0.550000011920929,1.2696065838912478
CAMRI,002,boundary,0.5699999928474426,1.2485580949344977
CAMRI,002,boundary,0.5900000333786011,1.2377112452863046
CAMRI,002,boundary,0.6100000143051147,1.144272399648781
CAMRI,002,boundary,0.6299999952316284,1.1184401632018603
CAMRI,002,boundary,0.6499999761581421,1.1158855056059727
CAMRI,002,boundary,0.6700000166893005,1.105045670229383
CAMRI,002,boundary,0.6899999976158142,1.0855917637693564
CAMRI,002,boundary,0.7100000381469727,1.0769778086400028
CAMRI,002,boundary,0.7300000190734863,1.0428569528571665
CAMRI,002,boundary,0.75,0.9905546469646359
CAMRI,002,boundary,0.7699999809265137,0.9551549155373743
CAMRI,002,boundary,0.7899999618530273,0.9347414738299816
CAMRI,002,boundary,0.8100000023841858,0.8910526991690898
CAMRI,002,boundary,0.8299999833106995,0.8502313872529683
CAMRI,002,boundary,0.8500000238418579,0.7714567127924686
CAMRI,002,boundary,0.8700000047683716,0.7440321929711834
CAMRI,002,boundary,0.8899999856948853,0.6598382371441828
CAMRI,002,boundary,0.9099999666213989,0.628901462433546
CAMRI,002,boundary,0.9300000071525574,0.5660767863368412
CAMRI,002,boundary,0.949999988079071,0.516325812439068
CAMRI,002,boundary,0.9700000286102295,0.4726328434718638
CAMRI,002,boundary,0.9900000095367432,2.7787194587903645
CAMRI,004,whole,0.009999999776482582,7.79953020362996
