task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
lesion,axis2_+5deg,0.9651153379198705,0.893009249300925,0.8974504249291785,-0.004441175628253524,20170222CH_Exp3_zfp_M08
lesion,axis2_+10deg,0.9577804583835947,0.8876735740226447,0.8974504249291785,-0.009776850906533796,20170222CH_Exp3_zfp_M08
lesion,axis2_+20deg,0.9512967491081092,0.8901286091474321,0.8974504249291785,-0.007321815781746399,20170222CH_Exp3_zfp_M08
lesion,axis2_+30deg,0.942870859337494,0.8894649611151247,0.8974504249291785,-0.00798546381405374,20170222CH_Exp3_zfp_M08
lesion,resampling_floor,1.0,0.09988649262202043,0.09988649262202043,0.0,20170404CH_SC_M05
lesion,axis0_+5deg,0.46095398902490503,0.05,0.09988649262202043,-0.049886492622020426,20170404CH_SC_M05
lesion,axis0_+10deg,0.44384407564646855,0.04500548847420417,0.09988649262202043,-0.054881004147816256,20170404CH_SC_M05
lesion,axis0_+20deg,0.1906792567773378,0.016905295842677248,0.09988649262202043,-0.08298119677934318,20170404CH_SC_M05
lesion,axis0_+30deg,0.1059034978570441,0.008030955683726363,0.09988649262202043,-0.09185553693829407,20170404CH_SC_M05
lesion,axis1_+5deg,0.6404040404040404,0.03963666391412056,0.09988649262202043,-0.06024982870789987,20170404CH_SC_M05
lesion,axis1_+10deg,0.5117085862966175,0.05855562784645413,0.09988649262202043,-0.0413308647755663,20170404CH_SC_M05
lesion,axis1_+20deg,0.2666158826890116,0.020080321285140562,0.09988649262202043,-0.07980617133687987,20170404CH_SC_M05
lesion,axis1_+30deg,0.1532717626252702,0.010840684451057498,0.09988649262202043,-0.08904580817096293,20170404CH_SC_M05
lesion,axis2_+5deg,0.6062958171625701,0.03741935483870968,0.09988649262202043,-0.06246713778331075,20170404CH_SC_M05
lesion,axis2_+10deg,0.5926966292134831,0.011704462326261888,0.09988649262202043,-0.08818203029575854,20170404CH_SC_M05
lesion,axis2_+20deg,0.3302162478082992,0.003015454202789295,0.09988649262202043,-0.09687103841923113,20170404CH_SC_M05
lesion,axis2_+30deg,0.2503008423586041,0.0005906674542232723,0.09988649262202043,-0.09929582516779716,20170404CH_SC_M05
lesion,resampling_floor,1.0,0.7355950457727517,0.7355950457727517,0.0,20170405CH_SC_M16
lesion,axis0_+5deg,0.8532786885245902,0.7000510986203372,0.7355950457727517,-0.03554394715241449,20170405CH_SC_M16
lesion,axis0_+10deg,0.730820995962315,0.549618320610687,0.7355950457727517,-0.18597672516206465,20170405CH_SC_M16
lesion,axis0_+20deg,0.3661274347969627,0.2460986547085202,0.7355950457727517,-0.4894963910642315,20170405CH_SC_M16
lesion,axis0_+30deg,0.1493082746019316,0.09258136244188397,0.7355950457727517,-0.6430136833308677,20170405CH_SC_M16
lesion,axis1_+5deg,0.7261478345815695,0.5278207109737248,0.7355950457727517,-0.20777433479902685,20170405CH_SC_M16
lesion,axis1_+10deg,0.5866666666666667,0.4087372830640335,0.7355950457727517,-0.3268577627087182,20170405CH_SC_M16
lesion,axis1_+20deg,0.336734693877551,0.22067626597637924,0.7355950457727517,-0.5149187797963725,20170405CH_SC_M16
lesion,axis1_+30deg,0.195898589599377,0.12335199566552285,0.7355950457727517,-0.6122430501072289,20170405CH_SC_M16
lesion,axis2_+5deg,0.855278310940499,0.644674835061263,0.7355950457727517,-0.0909202107114887,20170405CH_SC_M16
lesion,axis2_+10deg,0.799260628465804,0.6165616561656165,0.7355950457727517,-0.11903338960713516,20170405CH_SC_M16
lesion,axis2_+20deg,0.6540688814385858,0.4889206576125804,0.7355950457727517,-0.2466743881601713,20170405CH_SC_M16
lesion,axis2_+30deg,0.5196733481811433,0.38336143901068015,0.7355950457727517,-0.35223360676207155,20170405CH_SC_M16
lesion,resampling_floor,1.0,0.8795508060134034,0.8795508060134034,0.0,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis0_+5deg,0.9321208879379513,0.8640408114841618,0.8795508060134034,-0.015509994529241622,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis0_+10deg,0.9188034188034188,0.8389141836205406,0.8795508060134034,-0.04063662239286281,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis0_+20deg,0.791742832939498,0.7077505827505828,0.8795508060134034,-0.17180022326282063,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis0_+30deg,0.5771807797843149,0.49550923572275885,0.8795508060134034,-0.38404157029064456,20170628CH_Exp6_ZFPtm1a_M12
