domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count
Mouse,POLYIC_20190510_mouse39__E4_P1,x,7,3.199999881,2,0.1671802773,1,0.1781397793,0.01095950195,3894,3806
Mouse,POLYIC_20190510_mouse39__E4_P1,x,8,3.199999881,6,0.1402157165,6,0.1452968996,0.005081183145,3894,3806
Mouse,POLYIC_20190510_mouse39__E4_P1,y,2,4.999999925,0,0.508808096,1,0.5487758225,0.03996772654,5336,5228
Mouse,POLYIC_20190510_mouse39__E4_P1,y,3,4.999999925,2,0.3727511244,0,0.4640397858,0.09128866133,5336,5228
Mouse,POLYIC_20190510_mouse39__E4_P1,y,4,4.999999925,2,0.2762368816,3,0.351185922,0.0749490404,5336,5228
Mouse,POLYIC_20190510_mouse39__E4_P1,y,5,4.999999925,1,0.2256371814,2,0.5147283856,0.2890912042,5336,5228
Mouse,POLYIC_20190510_mouse39__E4_P1,y,6,4.999999925,5,0.1866566717,3,0.3001147666,0.113458095,5336,5228
Mouse,POLYIC_20190510_mouse39__E4_P1,y,7,4.999999925,2,0.1791604198,0,0.2165263963,0.03736597654,5336,5228
Mouse,POLYIC_20190510_mouse39__E4_P1,y,8,4.999999925,6,0.1594827586,7,0.2287681714,0.06928541276,5336,5228
Mouse,POLYIC_20190510_mouse42__E2_P1,x,2,3.199999881,0,0.5015440041,1,0.5034138655,0.001869861429,3886,3808
Mouse,POLYIC_20190510_mouse42__E2_P1,x,3,3.199999881,0,0.3453422542,1,0.3403361345,-0.005006119792,3886,3808
Mouse,POLYIC_20190510_mouse42__E2_P1,x,4,3.199999881,3,0.2547606794,1,0.256302521,0.001541841647,3886,3808
Mouse,POLYIC_20190510_mouse42__E2_P1,x,5,3.199999881,4,0.2138445703,4,0.2095588235,-0.004285746723,3886,3808
Mouse,POLYIC_20190510_mouse42__E2_P1,x,6,3.199999881,0,0.1755018013,4,0.1722689076,-0.003232893775,3886,3808
Mouse,POLYIC_20190510_mouse42__E2_P1,x,7,3.199999881,3,0.1518270715,2,0.1551995798,0.003372508293,3886,3808
Mouse,POLYIC_20190510_mouse42__E2_P1,x,8,3.199999881,6,0.1353576943,4,0.1428571429,0.00749944857,3886,3808
Mouse,POLYIC_20190510_mouse42__E2_P1,y,2,4.999999925,0,0.5005818464,0,0.5111243544,0.010542508,5156,5034
Mouse,POLYIC_20190510_mouse42__E2_P1,y,3,4.999999925,2,0.3555081458,1,0.3796185936,0.02411044771,5156,5034
Mouse,POLYIC_20190510_mouse42__E2_P1,y,4,4.999999925,3,0.2651280062,1,0.2862534764,0.02112547015,5156,5034
Mouse,POLYIC_20190510_mouse42__E2_P1,y,5,4.999999925,4,0.2168347556,0,0.5041716329,0.2873368773,5156,5034
Mouse,POLYIC_20190510_mouse42__E2_P1,y,6,4.999999925,5,0.1821179209,4,0.2081843464,0.02606642558,5156,5034
Mouse,POLYIC_20190510_mouse42__E2_P1,y,7,4.999999925,2,0.1625290923,2,0.1628923321,0.0003632398218,5156,5034
Mouse,POLYIC_20190510_mouse42__E2_P1,y,8,4.999999925,7,0.1505042669,2,0.1535558204,0.003051553548,5156,5034
Mouse,POLYIC_20190510_mouse43__E2_P1_1,x,2,3.199999881,0,0.5107444359,0,0.515117158,0.004372722057,2606,2646
Mouse,POLYIC_20190510_mouse43__E2_P1_1,x,3,3.199999881,0,0.3480429777,0,0.3571428571,0.009099879399,2606,2646
Mouse,POLYIC_20190510_mouse43__E2_P1_1,x,4,3.199999881,0,0.2651573292,2,0.2653061224,0.0001487932088,2606,2646
Mouse,POLYIC_20190510_mouse43__E2_P1_1,x,5,3.199999881,1,0.2068303914,2,0.2021919879,-0.004638403498,2606,2646
Mouse,POLYIC_20190510_mouse43__E2_P1_1,x,6,3.199999881,3,0.1845740599,0,0.1806500378,-0.003924022069,2606,2646
