domain,subject,component_rank,component_label,is_largest_component,voxel_volume,physical_volume_mm3,centroid_i,centroid_j,centroid_k,centroid_world_x,centroid_world_y,centroid_world_z,centroid_distance_to_largest_mm,minimum_distance_to_largest_mm,bbox_i0,bbox_j0,bbox_k0,bbox_i1_exclusive,bbox_j1_exclusive,bbox_k1_exclusive,occupied_slices,average_image_intensity,brain_intensity_zscore,locally_brain_like,expert_overlap_voxels,expert_overlap_fraction
Mouse,POLYIC_20190524_polyic___E3_P1_13,3,4,0,814,3.256000873327279,97.14619164619165,38.62653562653563,12.43980343980344,-0.8442589349275877,6.476109550088094,0.16179312368584053,7.4207001323826844,3.6124784274678112,87,32,11,109,50,16,5,22.891027450561523,-0.7317890728857231,1,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_13,4,6,0,21,0.08400002253055634,92.28571428571429,44.42857142857143,9.0,-0.3582111916371762,5.895948964583594,-1.2141467132935992,7.140689796319735,3.9812059427350834,90,42,9,96,47,10,1,20.523244857788086,-1.1974774276289104,0,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_13,5,2,0,8,0.03200000858306908,72.5,45.5,2.0,1.620360266417265,5.788893617126487,-4.014150728141338,8.501714403914356,3.9000000581145287,71,45,2,75,47,3,1,22.816360473632812,-0.7464743492053072,1,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_13,6,5,0,4,0.01600000429153454,90.5,40.5,7.0,-0.1796397604048252,6.288831116311455,-2.0141346252791332,7.794237627160042,4.440720728406798,90,40,7,92,42,8,1,23.833261489868164,-0.5464733175934371,1,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_3,1,1,1,106969,427.8756046973346,80.59118997092615,104.24405201506978,15.53167740186409,-0.05373554973301431,-1.0813044250666533,-2.987869337007778,0.0,0.0,31,67,0,130,142,36,36,27.939241409301758,0.030216773508225294,1,104974,0.9813497368396451
Mouse,POLYIC_20190524_polyic___E3_P1_3,2,2,0,826,3.3039969475268385,82.35956416464892,25.814769975786923,1.662227602905569,-0.23057303954781005,6.76179728207643,-8.535398838023095,9.608360913861947,4.100000061094761,71,17,0,101,45,5,5,22.922924041748047,-0.940159841256415,1,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_3,3,3,0,524,2.0959980635642412,98.93511450381679,27.446564885496183,11.255725190839694,-1.8881280512606882,6.598497854778621,-4.698008544105434,8.078919173678509,4.166532798174545,83,20,8,111,37,14,6,25.95848846435547,-0.3529480457343427,1,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_3,4,4,0,20,0.07999992609023822,99.3,40.5,2.6,-1.9246166437415635,5.293262534843199,-8.160336113620591,8.419602873619176,4.617358621050083,96,40,2,103,42,4,2,23.37320899963379,-0.8530549072785856,1,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_3,5,5,0,8,0.03199997043609529,98.5,40.5,10.0,-1.8446166063702343,5.293170023076297,-5.200338938920067,6.981131798529185,3.9849712061891696,97,40,10,101,42,11,1,21.248933792114258,-1.263983250456064,0,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_4,1,1,1,108252,433.0081161417993,97.6980748623582,117.16075453571297,15.986355910283413,-0.8999412606625103,-1.174617076038464,-1.8673312303482552,0.0,0.0,47,87,0,148,150,36,36,28.86994171142578,0.055708911665062984,1,106931,0.9877969922033774
Mouse,POLYIC_20190524_polyic___E3_P1_5,1,1,1,108179,432.71663190116357,97.01123138501927,109.51156878876677,14.55448839423548,-0.8314228512361961,-1.4009983389185336,-2.9753277538134952,0.0,0.0,48,75,0,146,145,35,35,7.491085529327393,0.011395070341803627,1,105874,0.9786927222473862
Mouse,POLYIC_20190524_polyic___E3_P1_5,2,2,0,401,1.6040023423433993,97.69576059850374,37.55112219451372,11.376558603491272,-0.8998757736046716,5.79508615348964,-4.246276582709793,7.307778646766134,3.815757396753948,84,32,10,113,42,15,5,5.950716495513916,-0.99904957668862,1,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_6,1,1,1,114115,456.45957828937674,93.21542303816325,124.45108005082592,16.8675897121325,-0.5782658466487938,-1.5012301202792262,-3.4437882461946856,0.0,0.0,44,90,0,142,160,36,36,25.77124786376953,0.05405536717592015,1,111980,0.9812908031371862
Mouse,POLYIC_20190524_polyic___E3_P1_7,1,1,1,102349,409.3956217704896,86.20633323237159,116.01922832660797,14.925587939305709,-0.7575534269753668,-0.4381510439486114,1.3424683817013134,0.0,0.0,35,85,0,135,147,36,36,27.762887954711914,0.07309229922352524,1,100773,0.984601705927757
Mouse,POLYIC_20190524_polyic___E3_P1_9,1,1,1,106161,424.6441138983996,91.8611542845301,122.07904032554328,16.16024717174857,-1.0296366835008595,-0.6773349820259327,-0.10677197627161572,0.0,0.0,42,90,0,141,155,38,38,26.271638870239258,0.04109636027596461,1,104598,0.9852770791533614
Mouse,POLYIC_20190524_polyic___E4_P1_1,1,1,1,108531,434.1235989249822,93.24133196966766,112.47434373589113,14.406915996351273,-0.8693622940370602,-1.2851836910641392,-3.0270393655302517,0.0,0.0,43,77,0,142,150,35,35,26.262556076049805,0.048382094242830104,1,106765,0.9837281514037464
Mouse,POLYIC_20190524_polyic___E4_P1_1,2,2,0,3,0.011999988913535733,92.0,38.0,11.0,-0.7452290952205658,6.162293381727856,-4.389571701628255,7.572107907823522,4.3920382813612635,92,37,11,93,40,12,1,16.678356170654297,-1.6666129402596768,0,0,0.0
Mouse,POLYIC_20190524_polyic___E4_P1_7,1,1,1,103975,415.900111553076,89.51119980764607,123.16316422216879,15.430545804279875,0.012251162708780683,-0.9689905854079903,-1.6742778720492408,0.0,0.0,41,90,0,137,157,36,36,27.651084899902344,0.06261143221543165,1,102648,0.9872373166626593
Mouse,POLYIC_20190524_polyic___E4_P1_9,1,1,1,106644,426.5761144166024,85.50246614905667,115.34527962191966,16.09389182701324,0.4129709929762573,-0.5541413686137187,1.7748890693823238,0.0,0.0,36,80,0,133,150,38,38,24.722944259643555,0.05191356188181836,1,105608,0.9902854356550767
Mouse,POLYIC_20190524_polyic___E8_P1_1,1,1,1,109860,439.44011786699616,81.39970872018934,109.58934097942836,15.557582377571455,0.7297294385097786,-0.7322601211741677,-0.6745148621858448,0.0,0.0,31,77,0,130,142,36,36,29.181045532226562,0.04226517264129591,1,107238,0.9761332605133807
Mouse,POLYIC_20190524_polyic___E8_P1_1,2,3,0,68,0.2720000729560872,91.67647058823529,38.14705882352941,8.529411764705882,-0.297946763608385,6.4120560607915635,-3.4855604904823934,7.745924709720755,3.9102430540542925,88,35,8,96,42,10,2,20.1477108001709,-1.4053419776880407,0,0,0.0
Mouse,POLYIC_20190524_polyic___E8_P1_1,3,2,0,4,0.01600000429153454,88.5,30.5,2.0,0.019700299948453903,7.1768435822881,-6.097301917661882,9.615855771524716,4.796874061019012,88,30,2,90,32,3,1,21.543283462524414,-1.1816991010814561,0,0,0.0
